year,state,,state_fips,state_cen,state_ic,office,,stage,runoff,special,candidate,party,state_po,district,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket,fb_ad_library_id
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,YOUNG KIM,REPUBLICAN,CA,39,FALSE,TOTAL,173946,343783,FALSE,20210604,FALSE,118502801658228
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,LUCILLE ROYBAL-ALLARD,DEMOCRAT,CA,40,FALSE,TOTAL,135572,186381,FALSE,20210604,FALSE,1702437206742877
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,C. ANTONIO DELGADO,REPUBLICAN,CA,40,FALSE,TOTAL,50809,186381,FALSE,20210604,FALSE,359153387814647
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,MARK TAKANO,DEMOCRAT,CA,41,FALSE,TOTAL,168126,262573,FALSE,20210604,FALSE,159214207491260
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,AJA SMITH,REPUBLICAN,CA,41,FALSE,TOTAL,94447,262573,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,WILLIAM LIAM OMARA,DEMOCRAT,CA,42,FALSE,TOTAL,157773,368047,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,KEN CALVERT,REPUBLICAN,CA,42,FALSE,TOTAL,210274,368047,FALSE,20210604,FALSE,9157920604
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,MAXINE WATERS,DEMOCRAT,CA,43,FALSE,TOTAL,199210,277898,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,KEVIN MCCARTHY,REPUBLICAN,CA,23,FALSE,TOTAL,190222,306118,FALSE,20210604,FALSE,159964696102
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,SALUD O. CARBAJAL,DEMOCRAT,CA,24,FALSE,TOTAL,212564,362345,FALSE,20210604,FALSE,1695916253968884
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ANDY CALDWELL,REPUBLICAN,CA,24,FALSE,TOTAL,149781,362345,FALSE,20210604,FALSE,100409941326731
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,CHRISTY SMITH,DEMOCRAT,CA,25,FALSE,TOTAL,169305,338943,FALSE,20210604,FALSE,1517919588502283
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,GREG RATHS,REPUBLICAN,CA,45,FALSE,TOTAL,193096,414939,FALSE,20210604,FALSE,114274475307351
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,J. LUIS CORREA,DEMOCRAT,CA,46,FALSE,TOTAL,157803,229519,FALSE,20210604,FALSE,
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,JAMES S. WATERS,REPUBLICAN,CA,46,FALSE,TOTAL,71716,229519,FALSE,20210604,FALSE,863550857318302
2020,CALIFORNIA,,6,93,71,US HOUSE,,gen,FALSE,FALSE,ALAN S. LOWENTHAL,DEMOCRAT,CA,47,FALSE,TOTAL,197028,311399,FALSE,20210604,FALSE,326741474054379
