<http://billylongforcongress.com/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.billylongforcongress.com/donate>; rel="self"; type="application/link-format"; from="Sun, 22 Jan 2012 00:46:31 GMT",
<http://web.archive.org/web/https://www.billylongforcongress.com/donate>; rel="timegate",
<http://web.archive.org/web/20140807233926/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 07 Aug 2014 23:39:26 GMT",
<http://web.archive.org/web/20140808011412/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 08 Aug 2014 01:14:12 GMT",
<http://web.archive.org/web/20140808011414/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 08 Aug 2014 01:14:14 GMT",
<http://web.archive.org/web/20140809064450/http://billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 09 Aug 2014 06:44:50 GMT",
<http://web.archive.org/web/20140814234247/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 14 Aug 2014 23:42:47 GMT",
<http://web.archive.org/web/20140814234348/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 14 Aug 2014 23:43:48 GMT",
<http://web.archive.org/web/20140815013217/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 15 Aug 2014 01:32:17 GMT",
<http://web.archive.org/web/20140815013225/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 15 Aug 2014 01:32:25 GMT",
<http://web.archive.org/web/20140821234153/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 21 Aug 2014 23:41:53 GMT",
<http://web.archive.org/web/20140821234155/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 21 Aug 2014 23:41:55 GMT",
<http://web.archive.org/web/20140822011657/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 22 Aug 2014 01:16:57 GMT",
<http://web.archive.org/web/20140822011802/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 22 Aug 2014 01:18:02 GMT",
<http://web.archive.org/web/20140822224230/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 22 Aug 2014 22:42:30 GMT",
<http://web.archive.org/web/20140822224234/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 22 Aug 2014 22:42:34 GMT",
<http://web.archive.org/web/20140822232232/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 22 Aug 2014 23:22:32 GMT",
<http://web.archive.org/web/20140822232236/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 22 Aug 2014 23:22:36 GMT",
<http://web.archive.org/web/20140828234123/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 28 Aug 2014 23:41:23 GMT",
<http://web.archive.org/web/20140828234214/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 28 Aug 2014 23:42:14 GMT",
<http://web.archive.org/web/20140829014241/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 29 Aug 2014 01:42:41 GMT",
<http://web.archive.org/web/20140829014418/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 29 Aug 2014 01:44:18 GMT",
<http://web.archive.org/web/20140829224606/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 29 Aug 2014 22:46:06 GMT",
<http://web.archive.org/web/20140829224648/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 29 Aug 2014 22:46:48 GMT",
